unique_id,ds,y
CPI,Jan-90,104.3
CPI,Feb-90,104.4
CPI,Mar-90,103.4
CPI,Apr-90,103.2
CPI,May-90,102.7
CPI,Jun-90,101.1
CPI,Jul-90,101.1
CPI,Aug-90,102.5
CPI,Sep-90,102.9
CPI,Oct-90,103.1
CPI,Nov-90,103.7
CPI,Dec-90,104.3
CPI,Jan-91,102.2
CPI,Feb-91,101
CPI,Mar-91,101.6
CPI,Apr-91,101.3
CPI,May-91,103.6
CPI,Jun-91,104.4
CPI,Jul-91,104.7
CPI,Aug-91,104.9
CPI,Sep-91,104.5
CPI,Oct-91,104.8
CPI,Nov-91,104.4
CPI,Dec-91,104.5
CPI,Jan-92,105.5
CPI,Feb-92,105.3
CPI,Mar-92,105.3
CPI,Apr-92,107.1
CPI,May-92,104.7
CPI,Jun-92,104.8
CPI,Jul-92,105.2
CPI,Aug-92,105.8
CPI,Sep-92,107.5
CPI,Oct-92,107.9
CPI,Nov-92,108.2
CPI,Dec-92,108.8
CPI,Jan-93,110.3
CPI,Feb-93,110.5
CPI,Mar-93,112.2
CPI,Apr-93,112.6
CPI,May-93,114
CPI,Jun-93,115.1
CPI,Jul-93,116.2
CPI,Aug-93,116
CPI,Sep-93,115.7
CPI,Oct-93,115.9
CPI,Nov-93,116.7
CPI,Dec-93,118.8
CPI,Jan-94,121.1
CPI,Feb-94,123.2
CPI,Mar-94,122.4
CPI,Apr-94,121.7
CPI,May-94,121.3
CPI,Jun-94,122.6
CPI,Jul-94,124
CPI,Aug-94,125.8
CPI,Sep-94,127.3
CPI,Oct-94,127.7
CPI,Nov-94,127.5
CPI,Dec-94,125.5
CPI,Jan-95,124.1
CPI,Feb-95,122.4
CPI,Mar-95,121.3
CPI,Apr-95,120.7
CPI,May-95,120.3
CPI,Jun-95,118.2
CPI,Jul-95,116.7
CPI,Aug-95,114.5
CPI,Sep-95,113.2
CPI,Oct-95,112.1
CPI,Nov-95,111.2
CPI,Dec-95,110.1
CPI,Jan-96,109
CPI,Feb-96,109.3
CPI,Mar-96,109.8
CPI,Apr-96,109.7
CPI,May-96,108.9
CPI,Jun-96,108.6
CPI,Jul-96,108.3
CPI,Aug-96,108.1
CPI,Sep-96,107.4
CPI,Oct-96,107
CPI,Nov-96,106.9
CPI,Dec-96,107
CPI,Jan-97,105.9
CPI,Feb-97,105.6
CPI,Mar-97,104
CPI,Apr-97,103.2
CPI,May-97,102.8
CPI,Jun-97,102.8
CPI,Jul-97,102.7
CPI,Aug-97,101.9
CPI,Sep-97,101.8
CPI,Oct-97,101.5
CPI,Nov-97,101.1
CPI,Dec-97,100.4
CPI,Jan-98,100.3
CPI,Feb-98,99.9
CPI,Mar-98,100.7
CPI,Apr-98,99.7
CPI,May-98,99
CPI,Jun-98,98.7
CPI,Jul-98,98.6
CPI,Aug-98,98.6
CPI,Sep-98,98.5
CPI,Oct-98,98.9
CPI,Nov-98,98.8
CPI,Dec-98,99
CPI,Jan-99,98.8
CPI,Feb-99,98.7
CPI,Mar-99,98.2
CPI,Apr-99,97.8
CPI,May-99,97.8
CPI,Jun-99,97.9
CPI,Jul-99,98.6
CPI,Aug-99,98.7
CPI,Sep-99,99.2
CPI,Oct-99,99.4
CPI,Nov-99,99.1
CPI,Dec-99,99
CPI,Jan-00,99.8
CPI,Feb-00,100.7
CPI,Mar-00,99.8
CPI,Apr-00,99.7
CPI,May-00,100.1
CPI,Jun-00,100.5
CPI,Jul-00,100.5
CPI,Aug-00,100.3
CPI,Sep-00,100
CPI,Oct-00,100
CPI,Nov-00,101.3
CPI,Dec-00,101.5
CPI,Jan-01,101.2
CPI,Feb-01,100
CPI,Mar-01,100.8
CPI,Apr-01,101.6
CPI,May-01,101.7
CPI,Jun-01,101.4
CPI,Jul-01,101.5
CPI,Aug-01,101
CPI,Sep-01,99.9
CPI,Oct-01,100.2
CPI,Nov-01,99.7
CPI,Dec-01,99.7
CPI,Jan-02,99
CPI,Feb-02,100
CPI,Mar-02,99.2
CPI,Apr-02,98.7
CPI,May-02,98.9
CPI,Jun-02,99.2
CPI,Jul-02,99.1
CPI,Aug-02,99.3
CPI,Sep-02,99.3
CPI,Oct-02,99.2
CPI,Nov-02,99.3
CPI,Dec-02,99.6
CPI,Jan-03,100.4
CPI,Feb-03,100.2
CPI,Mar-03,100.9
CPI,Apr-03,101
CPI,May-03,100.7
CPI,Jun-03,100.3
CPI,Jul-03,100.5
CPI,Aug-03,100.9
CPI,Sep-03,101.1
CPI,Oct-03,101.8
CPI,Nov-03,103
CPI,Dec-03,103.2
CPI,Jan-04,103.2
CPI,Feb-04,102.1
CPI,Mar-04,103
CPI,Apr-04,103.8
CPI,May-04,104.4
CPI,Jun-04,105
CPI,Jul-04,105.3
CPI,Aug-04,105.3
CPI,Sep-04,105.2
CPI,Oct-04,104.3
CPI,Nov-04,102.8
CPI,Dec-04,102.4
CPI,Jan-05,101.9
CPI,Feb-05,103.9
CPI,Mar-05,102.7
CPI,Apr-05,101.8
CPI,May-05,101.8
CPI,Jun-05,101.6
CPI,Jul-05,101.8
CPI,Aug-05,101.3
CPI,Sep-05,100.9
CPI,Oct-05,101.2
CPI,Nov-05,101.3
CPI,Dec-05,101.6
CPI,Jan-06,101.9
CPI,Feb-06,100.9
CPI,Mar-06,100.8
CPI,Apr-06,101.2
CPI,May-06,101.4
CPI,Jun-06,101.5
CPI,Jul-06,101
CPI,Aug-06,101.3
CPI,Sep-06,101.5
CPI,Oct-06,101.4
CPI,Nov-06,101.9
CPI,Dec-06,102.8
CPI,Jan-07,102.2
CPI,Feb-07,102.7
CPI,Mar-07,103.3
CPI,Apr-07,103
CPI,May-07,103.4
CPI,Jun-07,104.4
CPI,Jul-07,105.6
CPI,Aug-07,106.5
CPI,Sep-07,106.2
CPI,Oct-07,106.5
CPI,Nov-07,106.9
CPI,Dec-07,106.5
CPI,Jan-08,107.1
CPI,Feb-08,108.7
CPI,Mar-08,108.3
CPI,Apr-08,108.5
CPI,May-08,107.7
CPI,Jun-08,107.1
CPI,Jul-08,106.3
CPI,Aug-08,104.9
CPI,Sep-08,104.6
CPI,Oct-08,104
CPI,Nov-08,102.4
CPI,Dec-08,101.2
CPI,Jan-09,101
CPI,Feb-09,98.4
CPI,Mar-09,98.8
CPI,Apr-09,98.5
CPI,May-09,98.6
CPI,Jun-09,98.3
CPI,Jul-09,98.2
