unique_id,ds,y
ELECT,Jan-90,479
ELECT,Feb-90,457.1
ELECT,Mar-90,507.2
ELECT,Apr-90,495.6
ELECT,May-90,519.2
ELECT,Jun-90,516.3
ELECT,Jul-90,524
ELECT,Aug-90,529.5
ELECT,Sep-90,504.3
ELECT,Oct-90,521
ELECT,Nov-90,526.8
ELECT,Dec-90,556.8
ELECT,Jan-91,551.6
ELECT,Feb-91,470.9
ELECT,Mar-91,549.7
ELECT,Apr-91,534.5
ELECT,May-91,564.8
ELECT,Jun-91,546.4
ELECT,Jul-91,578.3
ELECT,Aug-91,581.2
ELECT,Sep-91,560.9
ELECT,Oct-91,573.6
ELECT,Nov-91,579.5
ELECT,Dec-91,608.58
ELECT,Jan-92,576.7
ELECT,Feb-92,551.5
ELECT,Mar-92,611.1
ELECT,Apr-92,587.3
ELECT,May-92,620
ELECT,Jun-92,626.2
ELECT,Jul-92,650
ELECT,Aug-92,639.6
ELECT,Sep-92,613
ELECT,Oct-92,625.3
ELECT,Nov-92,641.2
ELECT,Dec-92,672.8
ELECT,Jan-93,618.9
ELECT,Feb-93,609.5
ELECT,Mar-93,681.4
ELECT,Apr-93,655.1
ELECT,May-93,678.9
ELECT,Jun-93,680
ELECT,Jul-93,701.1
ELECT,Aug-93,700.2
ELECT,Sep-93,669.7
ELECT,Oct-93,687.9
ELECT,Nov-93,694.6
ELECT,Dec-93,750.2
ELECT,Jan-94,722.93
ELECT,Feb-94,643.49
ELECT,Mar-94,748.85
ELECT,Apr-94,728.07
ELECT,May-94,761.67
ELECT,Jun-94,758.07
ELECT,Jul-94,760.75
ELECT,Aug-94,792.39
ELECT,Sep-94,739.11
ELECT,Oct-94,757.98
ELECT,Nov-94,789.86
ELECT,Dec-94,834.13
ELECT,Jan-95,750.8
ELECT,Feb-95,712.7
ELECT,Mar-95,806.78
ELECT,Apr-95,806.79
ELECT,May-95,813.47
ELECT,Jun-95,824.19
ELECT,Jul-95,865.57
ELECT,Aug-95,864.56
ELECT,Sep-95,827.17
ELECT,Oct-95,825.88
ELECT,Nov-95,843.85
ELECT,Dec-95,895.77
ELECT,Jan-96,861.74
ELECT,Feb-96,762.76
ELECT,Mar-96,860.1
ELECT,Apr-96,854.28
ELECT,May-96,888.4
ELECT,Jun-96,884.65
ELECT,Jul-96,900.52
ELECT,Aug-96,913.65
ELECT,Sep-96,876
ELECT,Oct-96,873.9
ELECT,Nov-96,892.12
ELECT,Dec-96,958.24
ELECT,Jan-97,891.38
ELECT,Feb-97,775.75
ELECT,Mar-97,931.83
ELECT,Apr-97,882.62
ELECT,May-97,937.13
ELECT,Jun-97,924.73
ELECT,Jul-97,964.12
ELECT,Aug-97,971.18
ELECT,Sep-97,911.5
ELECT,Oct-97,910.18
ELECT,Nov-97,916.54
ELECT,Dec-97,987.63
ELECT,Jan-98,866.27
ELECT,Feb-98,819.35
ELECT,Mar-98,963.61
ELECT,Apr-98,909.93
ELECT,May-98,917.82
ELECT,Jun-98,926.12
ELECT,Jul-98,993.42
ELECT,Aug-98,1006.07
ELECT,Sep-98,930.13
ELECT,Oct-98,941.05
ELECT,Nov-98,954.97
ELECT,Dec-98,1052.6
ELECT,Jan-99,1101.43
ELECT,Feb-99,814.05
ELECT,Mar-99,990.12
ELECT,Apr-99,939.85
ELECT,May-99,969.17
ELECT,Jun-99,977.25
ELECT,Jul-99,1071.23
ELECT,Aug-99,1072.48
ELECT,Sep-99,1003.64
ELECT,Oct-99,994.53
ELECT,Nov-99,1003.01
ELECT,Dec-99,1103.79
ELECT,Jan-00,1052.32
ELECT,Feb-00,957.43
ELECT,Mar-00,1043.93
ELECT,Apr-00,1037.21
ELECT,May-00,1097.76
ELECT,Jun-00,1098.13
ELECT,Jul-00,1193.72
ELECT,Aug-00,1174.1
ELECT,Sep-00,1078.8
ELECT,Oct-00,1089.65
ELECT,Nov-00,1114.36
ELECT,Dec-00,1194
ELECT,Jan-01,1036.98
ELECT,Feb-01,1054.5
ELECT,Mar-01,1170.78
ELECT,Apr-01,1116.68
ELECT,May-01,1177.87
ELECT,Jun-01,1192.21
ELECT,Jul-01,1310.67
ELECT,Aug-01,1268.84
ELECT,Sep-01,1188.5
ELECT,Oct-01,1180.4
ELECT,Nov-01,1201.95
ELECT,Dec-01,1313.11
ELECT,Jan-02,1316.73
ELECT,Feb-02,1010.41
ELECT,Mar-02,1240.97
ELECT,Apr-02,1249.65
ELECT,May-02,1283.72
ELECT,Jun-02,1354.76
ELECT,Jul-02,1458.04
ELECT,Aug-02,1455.99
ELECT,Sep-02,1426.55
ELECT,Oct-02,1385.19
ELECT,Nov-02,1408.15
ELECT,Dec-02,1514.12
ELECT,Jan-03,1375.54
ELECT,Feb-03,1258.03
ELECT,Mar-03,1458.06
ELECT,Apr-03,1427.19
