unique_id,ds,y
GDP,1992-03-01,5262.8
GDP,1992-06-01,6484.3
GDP,1992-09-01,7192.6
GDP,1992-12-01,8254.8
GDP,1993-03-01,6834.6
GDP,1993-06-01,8357.0
GDP,1993-09-01,9385.8
GDP,1993-12-01,11095.9
GDP,1994-03-01,9375.1
GDP,1994-06-01,11481.0
GDP,1994-09-01,12868.0
GDP,1994-12-01,14913.3
GDP,1995-03-01,12111.7
GDP,1995-06-01,14612.9
GDP,1995-09-01,16164.1
GDP,1995-12-01,18451.2
GDP,1996-03-01,14628.0
GDP,1996-06-01,17147.5
GDP,1996-09-01,18605.8
GDP,1996-12-01,21432.4
GDP,1997-03-01,16689.1
GDP,1997-06-01,19163.6
GDP,1997-09-01,20500.9
GDP,1997-12-01,23361.5
GDP,1998-03-01,18049.1
GDP,1998-06-01,20296.6
GDP,1998-09-01,21775.6
GDP,1998-12-01,25074.2
GDP,1999-03-01,19361.9
GDP,1999-06-01,21567.7
GDP,1999-09-01,23050.8
GDP,1999-12-01,26583.9
GDP,2000-03-01,21329.9
GDP,2000-06-01,24043.4
GDP,2000-09-01,25712.5
GDP,2000-12-01,29194.3
GDP,2001-03-01,24086.4
GDP,2001-06-01,26726.6
GDP,2001-09-01,28333.3
GDP,2001-12-01,31716.8
GDP,2002-03-01,26295.0
GDP,2002-06-01,29194.8
GDP,2002-09-01,31257.3
GDP,2002-12-01,34970.3
GDP,2003-03-01,29825.5
GDP,2003-06-01,32537.3
GDP,2003-09-01,35291.9
GDP,2003-12-01,39767.4
GDP,2004-03-01,34544.6
GDP,2004-06-01,38700.8
GDP,2004-09-01,41855.0
GDP,2004-12-01,46739.8
GDP,2005-03-01,40453.3
GDP,2005-06-01,44793.1
GDP,2005-09-01,48047.8
GDP,2005-12-01,54024.8
GDP,2006-03-01,47078.9
GDP,2006-06-01,52673.3
GDP,2006-09-01,56064.7
GDP,2006-12-01,63621.6
GDP,2007-03-01,57159.3
GDP,2007-06-01,64781.6
GDP,2007-09-01,69482.1
GDP,2007-12-01,78669.3
GDP,2008-03-01,69373.6
GDP,2008-06-01,78711.8
GDP,2008-09-01,82460.1
GDP,2008-12-01,88699.0
GDP,2009-03-01,73979.2
GDP,2009-06-01,83865.8
GDP,2009-09-01,89846.9
GDP,2009-12-01,100825.8
GDP,2010-03-01,87501.3
GDP,2010-06-01,99347.4
GDP,2010-09-01,105963.7
GDP,2010-12-01,119306.8
GDP,2011-03-01,104469.9
GDP,2011-06-01,118895.9
GDP,2011-09-01,126562.2
GDP,2011-12-01,138012.1
GDP,2012-03-01,117357.6
GDP,2012-06-01,131320.6
GDP,2012-09-01,138089.6
GDP,2012-12-01,151812.0
GDP,2013-03-01,129449.6
GDP,2013-06-01,143518.7
GDP,2013-09-01,152222.7
GDP,2013-12-01,167772.3
GDP,2014-03-01,140759.8
GDP,2014-06-01,156489.6
GDP,2014-09-01,165484.7
GDP,2014-12-01,180828.9
GDP,2015-03-01,151137.9
GDP,2015-06-01,168549.7
GDP,2015-09-01,176597.7
GDP,2015-12-01,192572.9
GDP,2016-03-01,162410.0
GDP,2016-06-01,181408.2
GDP,2016-09-01,191010.6
GDP,2016-12-01,211566.2
GDP,2017-03-01,181867.7
GDP,2017-06-01,201950.3
GDP,2017-09-01,212789.3
GDP,2017-12-01,235428.7
GDP,2018-03-01,202035.7
GDP,2018-06-01,223962.2
GDP,2018-09-01,234474.3
GDP,2018-12-01,258808.9
GDP,2019-03-01,217168.3
GDP,2019-06-01,241502.6
GDP,2019-09-01,251046.3
GDP,2019-12-01,276798.0
GDP,2020-03-01,205244.8
GDP,2020-06-01,248347.7
GDP,2020-09-01,264355.7
GDP,2020-12-01,295618.8
GDP,2021-03-01,247985
GDP,2021-06-01,281528
GDP,2021-09-01,289919.3
GDP,2021-12-01,324237.4
