unique_id,ds,y
PMI,2005-Jan,54.7
PMI,2005-Feb,54.5
PMI,2005-Mar,57.9
PMI,2005-Apr,56.7
PMI,2005-May,52.9
PMI,2005-Jun,51.7
PMI,2005-Jul,51.1
PMI,2005-Aug,52.6
PMI,2005-Sep,55.1
PMI,2005-Oct,54.1
PMI,2005-Nov,54.1
PMI,2005-Dec,54.3
PMI,2006-Jan,52.1
PMI,2006-Feb,52.1
PMI,2006-Mar,55.3
PMI,2006-Apr,58.1
PMI,2006-May,54.8
PMI,2006-Jun,54.1
PMI,2006-Jul,52.4
PMI,2006-Aug,53.1
PMI,2006-Sep,57
PMI,2006-Oct,54.7
PMI,2006-Nov,55.3
PMI,2006-Dec,54.8
PMI,2007-Jan,55.1
PMI,2007-Feb,53.1
PMI,2007-Mar,56.1
PMI,2007-Apr,58.6
PMI,2007-May,55.7
PMI,2007-Jun,54.5
PMI,2007-Jul,53.3
PMI,2007-Aug,54
PMI,2007-Sep,56.1
PMI,2007-Oct,53.2
PMI,2007-Nov,55.4
PMI,2007-Dec,55.3
PMI,2008-Jan,53
PMI,2008-Feb,53.4
PMI,2008-Mar,58.4
PMI,2008-Apr,59.2
PMI,2008-May,53.3
PMI,2008-Jun,52
PMI,2008-Jul,48.4
PMI,2008-Aug,48.4
PMI,2008-Sep,51.2
PMI,2008-Oct,44.6
PMI,2008-Nov,38.8
PMI,2008-Dec,41.2
PMI,2009-Jan,45.3
PMI,2009-Feb,49
PMI,2009-Mar,52.4
PMI,2009-Apr,53.5
PMI,2009-May,53.1
PMI,2009-Jun,53.2
PMI,2009-Jul,53.3
PMI,2009-Aug,54
PMI,2009-Sep,54.3
PMI,2009-Oct,55.2
PMI,2009-Nov,55.2
PMI,2009-Dec,56.6
PMI,2010-Jan,55.8
PMI,2010-Feb,52
PMI,2010-Mar,55.1
PMI,2010-Apr,55.7
PMI,2010-May,53.9
PMI,2010-Jun,52.1
PMI,2010-Jul,51.2
PMI,2010-Aug,51.7
PMI,2010-Sep,53.8
PMI,2010-Oct,54.7
PMI,2010-Nov,55.2
PMI,2010-Dec,53.9
PMI,2011-Jan,52.9
PMI,2011-Feb,52.2
PMI,2011-Mar,53.4
PMI,2011-Apr,52.9
PMI,2011-May,52
PMI,2011-Jun,50.9
PMI,2011-Jul,50.7
PMI,2011-Aug,50.9
PMI,2011-Sep,51.2
PMI,2011-Oct,50.4
PMI,2011-Nov,49
PMI,2011-Dec,50.3
PMI,2012-Jan,50.5
PMI,2012-Feb,51
PMI,2012-Mar,53.1
PMI,2012-Apr,53.3
PMI,2012-May,50.4
PMI,2012-Jun,50.2
PMI,2012-Jul,50.1
PMI,2012-Aug,49.17
PMI,2012-Sep,49.8
PMI,2012-Oct,50.2
PMI,2012-Nov,50.6
PMI,2012-Dec,50.6
PMI,2013-Jan,50.4
PMI,2013-Feb,50.1
PMI,2013-Mar,50.9
PMI,2013-Apr,50.6
PMI,2013-May,50.8
PMI,2013-Jun,50.1
PMI,2013-Jul,50.3
PMI,2013-Aug,51
PMI,2013-Sep,51.1
PMI,2013-Oct,51.4
PMI,2013-Nov,51.4
PMI,2013-Dec,51
PMI,2014-Jan,50.5
PMI,2014-Feb,50.2
PMI,2014-Mar,50.3
PMI,2014-Apr,50.4
PMI,2014-May,50.8
PMI,2014-Jun,51
PMI,2014-Jul,51.7
PMI,2014-Aug,51.1
PMI,2014-Sep,51.1
PMI,2014-Oct,50.8
PMI,2014-Nov,50.3
PMI,2014-Dec,50.1
PMI,2015-Jan,49.8
PMI,2015-Feb,49.9
PMI,2015-Mar,50.1
PMI,2015-Apr,50.1
PMI,2015-May,50.2
PMI,2015-Jun,50.2
PMI,2015-Jul,50
PMI,2015-Aug,49.7
PMI,2015-Sep,49.8
PMI,2015-Oct,49.8
PMI,2015-Nov,49.6
PMI,2015-Dec,49.7
PMI,2016-Jan,49.4
PMI,2016-Feb,49
PMI,2016-Mar,50.2
PMI,2016-Apr,50.1
PMI,2016-May,50.1
PMI,2016-Jun,50
PMI,2016-Jul,49.9
PMI,2016-Aug,50.4
PMI,2016-Sep,50.4
PMI,2016-Oct,51.2
PMI,2016-Nov,51.7
PMI,2016-Dec,51.4
PMI,2017-Jan,51.3
PMI,2017-Feb,51.6
PMI,2017-Mar,51.8
PMI,2017-Apr,51.2
PMI,2017-May,51.2
PMI,2017-Jun,51.7
PMI,2017-Jul,51.4
PMI,2017-Aug,51.7
PMI,2017-Sep,52.4
PMI,2017-Oct,51.6
PMI,2017-Nov,51.8
PMI,2017-Dec,51.6
PMI,2018-Jan,51.3
PMI,2018-Feb,50.3
PMI,2018-Mar,51.5
PMI,2018-Apr,51.4
PMI,2018-May,51.9
PMI,2018-Jun,51.5
PMI,2018-Jul,51.2
PMI,2018-Aug,51.3
PMI,2018-Sep,50.8
PMI,2018-Oct,50.2
PMI,2018-Nov,50
PMI,2018-Dec,49.4
PMI,2019-Jan,49.5
PMI,2019-Feb,49.2
PMI,2019-Mar,50.5
PMI,2019-Apr,50.1
PMI,2019-May,49.4
PMI,2019-Jun,49.4
PMI,2019-Jul,49.7
PMI,2019-Aug,49.5
PMI,2019-Sep,49.8
PMI,2019-Oct,49.3
PMI,2019-Nov,50.2
PMI,2019-Dec,50.2
PMI,2020-Jan,50
PMI,2020-Feb,35.7
PMI,2020-Mar,52
PMI,2020-Apr,50.8
PMI,2020-May,50.6
PMI,2020-Jun,50.9
PMI,2020-Jul,51.1
PMI,2020-Aug,51
PMI,2020-Sep,51.5
PMI,2020-Oct,51.4
PMI,2020-Nov,52.1
PMI,2020-Dec,51.9
PMI,2021-Jan,51.3
PMI,2021-Feb,50.6
PMI,2021-Mar,51.9
PMI,2021-Apr,51.1
PMI,2021-May,51
PMI,2021-Jun,50.9
PMI,2021-Jul,50.4
PMI,2021-Aug,50.1
PMI,2021-Sep,49.6
PMI,2021-Oct,49.2
PMI,2021-Nov,50.1
