unique_id,ds,y
PPI,Oct-96,100.34
PPI,Nov-96,100.04
PPI,Dec-96,100.43
PPI,Jan-97,100.12
PPI,Feb-97,100.44
PPI,Mar-97,100.47
PPI,Apr-97,100.06
PPI,May-97,100.07
PPI,Jun-97,99.63
PPI,Jul-97,99.35
PPI,Aug-97,99.11
PPI,Sep-97,99.05
PPI,Oct-97,99.08
PPI,Nov-97,99.39
PPI,Dec-97,99.08
PPI,Jan-98,98.68
PPI,Feb-98,97.35
PPI,Mar-98,96.8
PPI,Apr-98,96.31
PPI,May-98,95.53
PPI,Jun-98,95.12
PPI,Jul-98,95.04
PPI,Aug-98,94.46
PPI,Sep-98,95.81
PPI,Oct-98,94.3
PPI,Nov-98,94.6
PPI,Dec-98,96.2
PPI,Jan-99,95.08
PPI,Feb-99,95.11
PPI,Mar-99,95.38
PPI,Apr-99,96.14
PPI,May-99,96.58
PPI,Jun-99,96.4
PPI,Jul-99,97.49
PPI,Aug-99,97.7
PPI,Sep-99,97.9
PPI,Oct-99,99.26
PPI,Nov-99,98.9
PPI,Dec-99,99.17
PPI,Jan-00,100.03
PPI,Feb-00,101.2
PPI,Mar-00,101.87
PPI,Apr-00,102.59
PPI,May-00,102.5
PPI,Jun-00,102.95
PPI,Jul-00,104.5
PPI,Aug-00,103.92
PPI,Sep-00,103.7
PPI,Oct-00,103.6
PPI,Nov-00,103.5
PPI,Dec-00,102.8
PPI,Jan-01,101.43
PPI,Feb-01,100.9
PPI,Mar-01,100.2
PPI,Apr-01,99.9
PPI,May-01,99.8
PPI,Jun-01,99.4
PPI,Jul-01,98.7
PPI,Aug-01,98
PPI,Sep-01,97.1
PPI,Oct-01,96.9
PPI,Nov-01,96.3
PPI,Dec-01,96
PPI,Jan-02,96
PPI,Feb-02,95.9
PPI,Mar-02,96
PPI,Apr-02,96.9
PPI,May-02,97.37
PPI,Jun-02,97.5
PPI,Jul-02,97.7
PPI,Aug-02,98.3
PPI,Sep-02,98.6
PPI,Oct-02,99
PPI,Nov-02,99.6
PPI,Dec-02,100.4
PPI,Jan-03,102.4
PPI,Feb-03,104
PPI,Mar-03,104.6
PPI,Apr-03,103.6
PPI,May-03,102
PPI,Jun-03,101.3
PPI,Jul-03,101.4
PPI,Aug-03,101.4
PPI,Sep-03,101.4
PPI,Oct-03,101.2
PPI,Nov-03,101.9
PPI,Dec-03,103
PPI,Jan-04,103.5
PPI,Feb-04,103.5
PPI,Mar-04,103.9
PPI,Apr-04,105
PPI,May-04,105.7
PPI,Jun-04,106.4
PPI,Jul-04,106.4
PPI,Aug-04,106.8
PPI,Sep-04,107.9
PPI,Oct-04,108.4
PPI,Nov-04,108.1
PPI,Dec-04,107.1
PPI,Jan-05,105.8
PPI,Feb-05,105.38
PPI,Mar-05,105.6
PPI,Apr-05,105.78
PPI,May-05,105.9
PPI,Jun-05,105.2
PPI,Jul-05,105.19
PPI,Aug-05,105.3
PPI,Sep-05,104.5
PPI,Oct-05,104
PPI,Nov-05,103.2
PPI,Dec-05,103.2
PPI,Jan-06,103.05
PPI,Feb-06,103.01
PPI,Mar-06,102.49
PPI,Apr-06,101.87
PPI,May-06,102.43
PPI,Jun-06,103.52
PPI,Jul-06,103.58
PPI,Aug-06,103.4
PPI,Sep-06,103.5
PPI,Oct-06,102.98
PPI,Nov-06,102.8
PPI,Dec-06,103.1
PPI,Jan-07,103.3
PPI,Feb-07,102.6
PPI,Mar-07,102.7
PPI,Apr-07,102.9
PPI,May-07,102.8
PPI,Jun-07,102.5
PPI,Jul-07,102.4
PPI,Aug-07,102.6
PPI,Sep-07,102.7
PPI,Oct-07,103.2
PPI,Nov-07,104.6
PPI,Dec-07,105.4
PPI,Jan-08,106.1
PPI,Feb-08,106.6
PPI,Mar-08,108
PPI,Apr-08,108.1
PPI,May-08,108.2
PPI,Jun-08,108.8
PPI,Jul-08,110
PPI,Aug-08,110.1
PPI,Sep-08,109.1
PPI,Oct-08,106.6
PPI,Nov-08,102
PPI,Dec-08,98.9
PPI,Jan-09,96.7
PPI,Feb-09,95.5
PPI,Mar-09,94
PPI,Apr-09,93.4
PPI,May-09,92.8
PPI,Jun-09,92.2
PPI,Jul-09,91.8
PPI,Aug-09,92.1
PPI,Sep-09,93
PPI,Oct-09,94.2
PPI,Nov-09,97.9
PPI,Dec-09,101.7
PPI,Jan-10,104.3
PPI,Feb-10,105.4
PPI,Mar-10,105.9
PPI,Apr-10,106.8
PPI,May-10,107.1
PPI,Jun-10,106.4
PPI,Jul-10,104.8
PPI,Aug-10,104.3
PPI,Sep-10,104.3
PPI,Oct-10,105
PPI,Nov-10,106.1
PPI,Dec-10,105.9
PPI,Jan-11,106.6
PPI,Feb-11,107.2
PPI,Mar-11,107.3
PPI,Apr-11,106.8
PPI,May-11,106.8
PPI,Jun-11,107.1
PPI,Jul-11,107.5
PPI,Aug-11,107.3
PPI,Sep-11,106.5
PPI,Oct-11,105
PPI,Nov-11,102.7
PPI,Dec-11,101.7
PPI,Jan-12,100.7
PPI,Feb-12,100
PPI,Mar-12,99.7
PPI,Apr-12,99.3
PPI,May-12,98.6
PPI,Jun-12,97.92
PPI,Jul-12,97.13
PPI,Aug-12,96.52
PPI,Sep-12,96.45
PPI,Oct-12,97.24
PPI,Nov-12,97.8
PPI,Dec-12,98.06
PPI,Jan-13,98.36
PPI,Feb-13,98.37
PPI,Mar-13,98.08
PPI,Apr-13,97.38
PPI,May-13,97.13
PPI,Jun-13,97.3
PPI,Jul-13,97.73
PPI,Aug-13,98.38
PPI,Sep-13,98.66
PPI,Oct-13,98.49
PPI,Nov-13,98.58
PPI,Dec-13,98.64
PPI,Jan-14,98.4
PPI,Feb-14,97.98
PPI,Mar-14,97.7
PPI,Apr-14,98
PPI,May-14,98.55
PPI,Jun-14,98.89
PPI,Jul-14,99.13
PPI,Aug-14,98.8
PPI,Sep-14,98.2
PPI,Oct-14,97.76
PPI,Nov-14,97.31
PPI,Dec-14,96.68
PPI,Jan-15,95.68
PPI,Feb-15,95.2
PPI,Mar-15,95.44
PPI,Apr-15,95.43
PPI,May-15,95.39
PPI,Jun-15,95.19
PPI,Jul-15,94.63
PPI,Aug-15,94.08
PPI,Sep-15,94.06
PPI,Oct-15,94.12
PPI,Nov-15,94.1
PPI,Dec-15,94.1
PPI,Jan-16,94.72
PPI,Feb-16,95.1
PPI,Mar-16,95.68
PPI,Apr-16,96.62
PPI,May-16,97.2
PPI,Jun-16,97.4
PPI,Jul-16,98.3
PPI,Aug-16,99.2
PPI,Sep-16,100.1
PPI,Oct-16,101.2
PPI,Nov-16,103.3
PPI,Dec-16,105.5
PPI,Jan-17,106.9
PPI,Feb-17,107.8
PPI,Mar-17,107.6
PPI,Apr-17,106.4
PPI,May-17,105.5
PPI,Jun-17,105.5
PPI,Jul-17,105.5
PPI,Aug-17,106.3
PPI,Sep-17,106.9
PPI,Oct-17,106.9
PPI,Nov-17,105.8
PPI,Dec-17,104.9
PPI,Jan-18,104.3
PPI,Feb-18,103.7
PPI,Mar-18,103.1
PPI,Apr-18,103.4
PPI,May-18,104.1
PPI,Jun-18,104.7
PPI,Jul-18,104.6
PPI,Aug-18,104.1
PPI,Sep-18,103.6
PPI,Oct-18,103.3
PPI,Nov-18,102.7
PPI,Dec-18,100.9
PPI,Jan-19,100.1
PPI,Feb-19,100.1
PPI,Mar-19,100.4
PPI,Apr-19,100.9
PPI,May-19,100.6
PPI,Jun-19,100
PPI,Jul-19,99.7
PPI,Aug-19,99.2
PPI,Sep-19,98.8
PPI,Oct-19,98.4
PPI,Nov-19,98.6
PPI,Dec-19,99.5
PPI,Jan-20,100.1
PPI,Feb-20,99.6
PPI,Mar-20,98.5
PPI,Apr-20,96.9
PPI,May-20,96.3
PPI,Jun-20,97
PPI,Jul-20,97.6
PPI,Aug-20,98
PPI,Sep-20,97.9
PPI,Oct-20,97.9
PPI,Nov-20,98.5
PPI,Dec-20,99.6
PPI,Jan-21,100.3
PPI,Feb-21,101.7
PPI,Mar-21,104.4
PPI,Apr-21,106.8
PPI,May-21,109
PPI,Jun-20,108.8
PPI,Jul-20,109
PPI,Aug-20,109.5
PPI,Sep-20,110.7
PPI,Oct-20,113.5
PPI,Nov-20,112.9
PPI,Dec-20,110.3
PPI,Jan-21,109.1
